,y_Tp9_PriceChg_c0,y_Tp9_PriceChg_c1,y_Tp9_PriceChg_c2,y_Tp9_PriceChg_c3,y_Tp9_PriceChg_c4,y_Tp9_PriceChg_c5,pc_pred
44,-0.036723,-0.016148,0.61305,0.447302,-0.01986,0.012379,0.025961650893232584
45,0.019662,0.0004,0.831493,0.165576,-0.013177,-0.003954,-0.012783223388609393
46,0.024739,-0.00972,0.598052,0.336643,0.031049,0.019237,0.013697571159173581
47,0.010467,-0.033246,0.469989,0.488787,0.020669,0.043335,0.035563483420108136
48,-0.070298,-0.025069,0.140355,0.196312,0.445507,0.313193,0.15738856480259555
49,-0.055292,0.016152,0.250681,0.657947,0.05522,0.075291,0.06949099627774677
50,0.048218,-0.046726,0.30017,0.625553,0.019182,0.053601,0.04283827664232092
51,-0.012442,0.00326,0.776554,0.292695,-0.001435,-0.058632,-0.007181181451762062
52,0.007057,0.019794,0.63789,0.351416,0.005839,-0.021995,0.0013744938892612784
53,0.030378,0.020302,0.739306,0.168491,-0.016759,0.058281,-0.003209052616669041
54,0.173094,0.130995,0.730392,0.051105,-0.027646,-0.05794,-0.0828824970056474
55,0.010438,-0.016115,0.672226,0.344293,-0.013671,0.00283,0.006978124682212686
56,-0.068072,-0.018921,0.787377,0.355797,-0.050999,-0.005183,0.016087402111194905
57,-0.004139,0.026235,0.861741,0.184077,-0.041919,-0.025995,-0.019274806917214036
58,-0.007033,0.033502,0.746049,0.245633,0.001246,-0.019398,-0.0061357697085749185
59,0.014126,0.015388,0.696904,0.260161,0.014224,-0.000804,-0.0006691605944474908
60,0.04481,0.04371,0.876853,0.04733,-0.058966,0.046262,-0.02819878959379435
61,-0.008924,-0.003492,0.74294,0.311859,-0.044614,0.002233,0.0016388628710876166
62,-0.041175,0.024861,0.722383,0.312671,-0.00476,-0.013981,0.007422555988423157
63,0.011299,0.064434,0.724452,0.204324,-0.025903,0.021394,-0.011695420450737539
64,0.041497,0.051271,0.72311,0.241576,-0.001668,-0.055787,-0.027129117247506558
65,-0.024236,0.018484,0.358825,0.556531,0.026389,0.064006,0.04757732858129361
66,0.109187,0.151265,0.778115,0.018973,-0.055633,-0.001907,-0.06663575612622835
67,0.015675,0.007399,0.19219,0.525915,0.143582,0.11524,0.06903226398772061
68,0.002668,0.008553,0.78773,0.232394,-0.021913,-0.009432,-0.007602142183996871
69,-0.007203,0.008212,0.953318,0.130939,-0.027872,-0.057395,-0.02586130652440575
70,0.027574,0.014505,0.56686,0.362853,0.010843,0.017363,0.008734487610287028
71,0.057647,0.00341,0.339063,0.533469,0.022411,0.043999,0.025878305061595636
