,y_Tp1_PriceChg_c0,y_Tp1_PriceChg_c1,y_Tp1_PriceChg_c2,y_Tp1_PriceChg_c3,y_Tp1_PriceChg_c4,y_Tp1_PriceChg_c5,pc_pred
73,0.013321,0.000357,0.293931,0.484719,0.170437,0.037234,0.007233992191636437
74,0.018498,0.003336,0.751184,0.239709,-0.020418,0.007691,-0.018411489298081014
75,0.052761,0.023898,0.0322,0.013466,0.079077,0.798597,0.07015572439281066
76,0.014651,-0.085329,-0.061922,0.016956,0.89186,0.223784,0.06818848411029885
77,-0.030422,0.011981,-0.104474,-0.037049,0.269657,0.890307,0.09928355495788478
78,-0.013589,-0.053479,0.18109,0.693904,0.112053,0.080021,0.01897256113869124
79,0.030589,0.070488,0.548822,0.36789,0.016094,-0.033881,-0.01985820305393007
80,-0.025575,-0.025124,0.595888,0.366095,0.001779,0.086936,0.0008750620927634898
81,-0.08125,-0.01164,0.413631,0.67382,0.038051,-0.032611,0.0032220957334846505
82,0.117153,0.019461,0.631379,0.264362,0.000207,-0.032561,-0.028607100024667355
83,-0.041693,0.023256,-0.115234,0.022285,0.609774,0.501612,0.08058584383324549
84,0.051584,0.048983,0.165819,0.472736,0.242096,0.018781,0.00516513189368463
85,0.137405,0.058903,0.694797,0.149277,-0.062436,0.022054,-0.0334860127178559
86,-0.007335,0.00094,0.672137,0.350498,-0.010146,-0.006094,-0.013657214418671848
87,0.001131,-0.063832,-0.056361,-0.04831,0.548602,0.618769,0.0877534211263296
88,0.077218,0.043511,-0.055353,-0.008485,0.172886,0.770224,0.0702913051208088
89,0.117447,0.023987,0.755754,0.045974,0.020023,0.036815,-0.026510015239830223
90,0.042415,-0.015364,0.499293,0.330284,0.140213,0.003159,-0.00551230218144126
91,0.09888,0.045971,0.50806,0.213234,0.03903,0.094824,-0.012354333015504959
92,-0.034955,-0.014364,0.416518,0.599422,0.039321,-0.005942,0.0007025919648239861
93,-0.037188,0.008156,0.296665,0.716747,0.039388,-0.023768,0.001807654127006405
94,0.014586,-0.010919,0.530552,0.459835,0.003005,0.002941,-0.009196773821807915
95,0.0296,0.106455,0.163093,0.100279,0.48561,0.114963,0.020865727126794294
96,-0.008908,-0.033979,0.646399,0.271068,0.051938,0.073481,-0.001126854663064919
97,-0.108413,-0.125625,0.665907,0.503974,0.094455,-0.030299,0.008226951353790679
98,0.003436,0.004391,0.835127,0.182854,-0.045437,0.019628,-0.019627595241643588
99,-0.015599,-0.025107,0.117967,0.34502,0.585193,-0.007474,0.030079578336207315
100,0.040563,-0.102587,0.043041,0.292565,0.76177,-0.035353,0.0365665263126706
101,0.013489,0.027368,0.574707,0.418406,0.026577,-0.060546,-0.01766410677221587
102,0.063713,-0.01541,0.695903,0.143344,0.041108,0.071341,-0.012355587782009346
103,0.055062,-0.033107,0.424907,0.470208,0.024524,0.058406,-0.002949589854454775
104,-0.012665,0.025907,0.454316,0.465269,0.084917,-0.017743,-0.0050051915735608
105,0.080054,-0.000389,0.418986,0.49261,-0.019443,0.028181,-0.011935569270412793
106,-0.04183,-0.019048,0.391763,0.604796,0.111887,-0.047569,0.0018836529126903092
107,0.238276,0.241554,0.398775,0.067504,0.028794,0.025098,-0.043616735885147064
108,0.194606,0.161592,0.551034,-0.06659,0.028739,0.130619,-0.029523163220610663
109,0.061922,0.068619,0.157494,0.250595,0.430881,0.030489,0.011166505958978836
110,-0.018309,0.041902,-0.0819,0.536834,0.417604,0.10387,0.035079590722061654
111,-0.068555,0.021027,0.271528,0.591498,0.180742,0.00376,0.012758940231635858
112,0.046516,-0.072067,-0.004441,0.453498,0.454383,0.122111,0.03670816029758805
113,0.041302,0.032793,0.45586,0.361974,0.091086,0.016985,-0.008113860407084615
114,0.042077,-0.047966,0.174357,0.735267,0.218581,-0.122317,9.163849551625976e-05
115,-0.038308,0.023298,0.710471,0.26647,0.0013,0.03677,-0.009217419947757103
116,0.268086,0.124982,0.529728,-0.003225,-0.012892,0.093322,-0.03869830259320829
117,0.134867,-0.017004,0.298966,0.467593,0.139054,-0.023476,-0.010826485579064285
118,-0.003441,0.045524,0.391923,0.541899,-0.033761,0.057856,-0.003547854762549859
119,-0.00618,-0.04512,0.123118,0.615396,0.204272,0.108514,0.025425714257619598
120,0.025712,-0.020388,0.738509,0.329029,-0.006466,-0.066396,-0.02272466365421335
121,0.050478,0.024817,0.053987,0.19627,0.643403,0.031045,0.027104892870856462
122,-0.014612,0.003533,0.083222,0.222198,0.574734,0.130925,0.04025024360457393
123,-0.069039,-0.060318,0.523906,0.573488,0.035363,-0.0034,0.004089828303649913
124,-0.014088,-0.041441,0.003941,0.078119,0.83405,0.139419,0.056663883429776775
125,-0.089451,0.019655,-0.013253,0.306071,0.765988,0.01099,0.04751273864822521
126,-0.015577,-0.033713,0.320952,0.62021,0.090581,0.017546,0.007113894234975584
127,-0.096032,0.001105,0.365464,0.766668,0.003828,-0.041033,0.003453317841654574
128,0.008482,0.027492,0.372814,0.448342,0.070255,0.072616,0.002326471246059344
129,-0.010947,0.014865,0.259757,0.656608,0.115389,-0.035672,0.001693530549294654
